45.13%,104,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,GASPAR - PCS (Plan communal de sauvegarde),"Le plan communal de sauvegarde (PCS) a été institué par la loi n°2004-811 du 13 août 2004 de modernisation de la sécurité civile, dans son article 13.
Il détermine, en fonction des risques connus, les mesures immédiates de sauvegarde et de protection des personnes, fixe l'organisation nécessaire à la diffusion de l'alerte et des consignes de sécurité, recense les moyens disponibles et définit la mise en œuvre des mesures d'accompagnement et de soutien de la population.
Le PCS doit être compatible avec le plan Orsec. Son élaboration est obligatoire pour les communes soumises à un PPR approuvé ou dans le champ d'application d'un PPI.",Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.georisques.gouv.fr/glossaire/plan-communal-de-sauvegarde-pcs-0,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,"RETENU - Datamart ""Georisque"" en cours de création",Open Data,Asmynour Youssouf,O,O,O,CSV,,,,,,,,,,Data,,,,,,,France,Nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
41.59%,105,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,BASIAS ,"La France a été l’un des premiers pays européens à conduire des inventaires des sites pollués ou susceptibles de l'être d’une façon systématique (premier inventaire en 1978). Les principaux objectifs de ces inventaires sont :

recenser, de façon large et systématique, tous les sites industriels abandonnés ou non, susceptibles d'engendrer une pollution de l'environnement ;
conserver la mémoire de ces sites ;
fournir des informations utiles aux acteurs de l'urbanisme, du foncier et de la protection de l'environnement.
 
La réalisation d'inventaires historiques régionaux (IHR) des sites industriels et activités de service, en activité ou non, s'est accompagnée de la création de la base de données nationale BASIAS.

Les inventaires sont réalisés à l'échelle départementale et à la précision des cartes 1/25 000, variables en fonction de la qualité des plans d'archives parfois très anciens. Ils peuvent être complétés par des inventaires historiques urbains (IHU) réalisés par certaines Communes et Agglomérations à l'échelle du parcellaire cadastral et avec une meilleure exhaustivité.

 
En juillet 2020, la base BASIAS contient environ 322 400 anciens sites industriels et activités de service recensés sur le territoire français.",Basse,Basse,Open Data,1,0,France,Statistiques officielles,Physique / transtion,N,O,O,N,N,N,N,https://www.georisques.gouv.fr/articles-risques/basias,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,FIni,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
39.82%,106,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,Installations industrielles rejetant des polluants,"Ce jeu de données correspond aux émissions polluantes des installations industrielles (IREP). Le Registre national des Emissions Polluantes est mis à jour 2 fois par an. Les données sont disponibles (au format Excel), par année, et à l'échelle nationale et proposées dans un dossier compressé qui comprend les 7 fichiers suivants :
- les émissions ;
- les établissements ;
- les prélèvements ;
- les productions de déchets dangereux ;
- les productions de déchets non-dangereux ;
- le traitement de déchets dangereux ;
- le traitement de déchets non-dangereux.",Basse,Basse,Open Data,1,0,France,,Physique / transtion,N,O,O,N,N,,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles-rejetant-des-polluants,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
39.82%,107,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,Inventaire des cavités souterraines,"Ce jeu de données s'appuie sur l'inventaire des cavités souterraines (BDCavités), opéré par le BRGM avec la participation de l'Université Gustave Eiffel, l'INERIS, le CEREMA et la fédération française de spéléologie.
Pour les départements 75, 78, 91, 92, 93, 94 et 95, les données cavités ne sont pas disponibles sur le portail Géorisques. Les informations sont consultables auprès de l'inspection générale des carrières (75, 92, 93 et 94) ou du service interdépartemental des cavités (78, 91 et 95).",Basse,Basse,Open Data,1,0,France,,Physique / transtion,N,O,O,N,N,,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/inventaire-des-cavites-souterraines,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
39.82%,108,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,Sites et sols pollués (ou potentiellement pollués),"Ce jeu de données correspond aux sites et sols pollués (ou potentiellement pollués) appelant une action des pouvoirs publics, à titre préventif ou curatif (ex BASOL). La fréquence de mise à jour de ce jeu de données est quotidienne. Les données sont proposées au format CSV. Le fichier téléchargé contient les informations suivantes :
- l'identifiant de l'établissement
- Sa localisation 
- Le XY du site
Attention, les valeurs entre guillemets ne sont pas bien gérées lors de l'ouverture dans Excel. Nous vous conseillons d'utiliser Open Office qui gère mieux ces types de valeurs.",Basse,Basse,Open Data,1,0,France,,Physique / transtion,N,O,O,N,N,,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/sites-et-sols-pollues-ou-potentiellement-pollues,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
7.08%,109,,GermanWatch,,,1,,,,,,,,,,Climate risk index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
13.27%,110,,global canopy,,https://globalcanopy.org/what-we-do/open-data/,1,,,,,,,,,,TNFD ,,Basse,Moyenne,Open Data,1,,,,,,,,,,,,https://globalcanopy.org/what-we-do/open-data/,,,,,,,,,,,,,,Open Data,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
80.53%,111,,Global Carbon Project,"Le Global Carbon Project est un projet de recherche mondial de Future Earth et un partenaire de recherche du World Climate Research Programme. Il a été créé pour travailler avec la communauté scientifique internationale afin d'établir une base de connaissances commune et mutuellement acceptée pour soutenir le débat politique et les actions visant à ralentir et, à terme, à stopper l'augmentation des gaz à effet de serre dans l'atmosphère",http://www.cger.nies.go.jp,1,US,,,2001,,2-10 employés,Public,University,,,"Nombreuses ressources liées au carbone

es données du Global Carbon Project publiées avec le concours d’une trentaine de laboratoires du monde entier et accessibles sur le Global Carbon Atlas - www.globalcarbonatlas.org",Moyenne,Basse,Open Data,1,0,Monde,"Territorial


Citer comme : Friedlingstein et al. (2020).


Friedlingstein et al. 2020 : Le budget carbone mondial 2020, données scientifiques du système terrestre. Disponible sur : Friedlingstein et al. 2020.
Les données pour les années 2018 et 2019 sont préliminaires.

Pétrole
Citer comme : Friedlingstein et al. (2020)
Friedlingstein et al., 2020 : Le budget carbone mondial 2020, données scientifiques du système terrestre. Disponible à l'adresse : https://doi.org/10.5194/essd-12-3269-2020

Population
ONU, 2019 : Perspectives de la population mondiale : La révision de 2019. Division de la population des Nations unies.
Disponible à l'adresse : https://esa.un.org/unpd/wpp/



",Transition,N,N,O,N,N,N,N,"Contact CGRE : http://www.cger.nies.go.jp/gcp/members.html
General inquiries :
info@globalcarbonproject.org

contact@globalcarbonatlas.org","CRIS : Risque physique sur le portefeuille financier 

https://www.globalcarbonproject.org/products/internetResources.htm#Data

Exemple : lobal dataset of CO₂ emissions and related ancillary data
http://www.globalcarbonatlas.org/global-carbon-cities     http://www.globalcarbonatlas.org/en/CO2-emissions

Les bases sont hébergées sur 
http://gaia.agraria.unitus.it/home
Contact: database@unitus.it",Sans objet,,Sans objet,,,,,Zoe Marquoin,Florian Renault,Non commencé,Sans objet,,Open Data,Soukaina TAZROUTI,O,O,O,Excel/CSV/JPG/PDF,N,O,N,N,N,JPG/PDF,,,,"Data
& Report",O,O,N,2020,Annuelle,O,Monde,Ville/Pays/Region/Groupe/Continent,O,-Territorial emissions: 1960-2019   -Consumption emissions: 1990-2018   -Transfer emissions:1990-2019  -Land use change emissions: 1960-2010        ,-Territorial emissions: 1960-2019   -Consumption emissions: 1990-2018   -Transfer emissions:1990-2019  -Land use change emissions: 1960-2010        ,O,O,O,Center for Global research environment : http://www.cger.nies.go.jp/gcp/members.html,N,N,N,N,N,N,N,,N,N,N,N,N,N,O,,,,,O,O,N,N,N,N,O,,N,N,N,OK,OK,OK,OK,,Les données sont visualisées et le site est bien fait
15.93%,112,,Global Footprint Network,"Global Footprint Network, an international nonprofit organization founded in 2003, envisions a future where all can thrive within the means of our one plane",,1,US,,,,,,Public,Organisme (think thank),,Ecological Footprint,"It measures of how much area of biologically productive land and water an individual, population, or activity requires to produce all the resources it consumes and to absorb the waste it generates, using prevailing technology and resource management practices. The Ecological Footprint is measured in global hectare",Basse,,,,,,,,N,,,,N,,N,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
25.66%,113,,Google maps API,,https://cloud.google.com/maps-platform?hl=fr,1,US,,,,,,Privé,Market,,,,Moyenne,Basse,Open Data / Abonnement,1,1,,,Autre,N,,,,N,,N,https://cloud.google.com/maps-platform?hl=fr,"Outil de calcul de distance/trajet

Lien API : shorturl.at/jtZ15",,,,,,,,Zoe Marquoin,Florian Renault,Non commencé,N,,Open Data,,N,N,N,,,,,,,,,,,Outil,,,,,,,Monde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
27.43%,114,,Green RWA,ONG engagée dans la transition climatique des acteurs financiers,,1,France,,,2020,,2-10 employés,Public,Association,,,,Moyenne,A définir,Abonnement,0,1,,,Physique,N,,,,N,,N,,https://www.greenrwa.org/publications,Site web pour contact,,,,,Contact vendredi 12/03/2021 pour partager sur les données utilisées par GreenRWA et celles de Carbone 4,,Cyril Regnier,Guillaume Sevellec,Fini,Sans objet,Echange sur les pratiques ,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
27.43%,115,,Greenly,"Référentiel interne participative
Source une partie de ses données à partir de l’ADEME (émissions par panier moyen) et le fait valider par un conseil scientifique ",,1,France,,,2019,1 million d'euros,11-50 employés,Privé,Tech,,,,Moyenne,Elevée,Abonnement,0,1,,,Hors Sujet,N,,,,N,,N,,https://www.greenly.earth/terrabase-fr ,"Alexis Normand, CEO, 
alexis@greenly.earth
06 76 98 06 43",,,,,,,GVE,Soukaina TAZROUTI,Fini,N,,,,N,N,N,,,,,,,,,,,Modèle,,,,,,,,,,,,,,,contacté par David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
